Freq,Channel 1,Average
283.45,-65.89,-65.89
284.18,-65.82,-65.82
284.91,-65.8,-65.8
285.64,-65.86,-65.86
286.38,-66,-66
287.11,-66.2,-66.2
287.84,-66.44,-66.44
288.57,-66.68,-66.68
289.31,-66.9,-66.9
290.04,-67.08,-67.08
290.77,-67.23,-67.23
291.5,-67.39,-67.39
292.24,-67.56,-67.56
292.97,-67.74,-67.74
293.7,-67.96,-67.96
294.43,-68.23,-68.23
295.17,-68.57,-68.57
295.9,-68.96,-68.96
296.63,-69.41,-69.41
297.36,-69.86,-69.86
298.1,-70.28,-70.28
298.83,-70.71,-70.71
299.56,-71.18,-71.18
300.29,-71.66,-71.66
301.03,-72.07,-72.07
301.76,-72.28,-72.28
302.49,-72.1,-72.1
303.22,-71.49,-71.49
303.96,-70.62,-70.62
304.69,-69.65,-69.65
305.42,-68.74,-68.74
306.15,-67.99,-67.99
306.88,-67.42,-67.42
307.62,-67.02,-67.02
308.35,-66.78,-66.78
309.08,-66.66,-66.66
309.81,-66.68,-66.68
310.55,-66.78,-66.78
311.28,-66.87,-66.87
312.01,-66.92,-66.92
312.74,-66.96,-66.96
313.48,-66.98,-66.98
314.21,-66.99,-66.99
314.94,-67,-67
315.67,-67,-67
316.41,-67.01,-67.01
317.14,-67.03,-67.03
317.87,-67.08,-67.08
318.6,-67.16,-67.16
319.34,-67.24,-67.24
320.07,-67.31,-67.31
320.8,-67.36,-67.36
321.53,-67.37,-67.37
322.27,-67.34,-67.34
323,-67.25,-67.25
323.73,-67.12,-67.12
324.46,-66.96,-66.96
325.2,-66.81,-66.81
325.93,-66.67,-66.67
326.66,-66.55,-66.55
327.39,-66.48,-66.48
328.13,-66.44,-66.44
328.86,-66.44,-66.44
329.59,-66.47,-66.47
330.32,-66.53,-66.53
331.05,-66.6,-66.6
331.79,-66.66,-66.66
332.52,-66.73,-66.73
333.25,-66.81,-66.81
333.98,-66.94,-66.94
334.72,-67.12,-67.12
335.45,-67.36,-67.36
336.18,-67.66,-67.66
336.91,-67.97,-67.97
337.65,-68.27,-68.27
338.38,-68.56,-68.56
339.11,-68.85,-68.85
339.84,-69.14,-69.14
340.58,-69.42,-69.42
341.31,-69.71,-69.71
342.04,-70.03,-70.03
342.77,-70.39,-70.39
343.51,-70.8,-70.8
344.24,-71.26,-71.26
344.97,-71.72,-71.72
345.7,-72.14,-72.14
346.44,-72.43,-72.43
347.17,-72.55,-72.55
347.9,-72.46,-72.46
348.63,-72.16,-72.16
349.37,-71.76,-71.76
350.1,-71.37,-71.37
350.83,-71.04,-71.04
351.56,-70.81,-70.81
352.29,-70.72,-70.72
353.03,-70.77,-70.77
353.76,-70.98,-70.98
354.49,-71.36,-71.36
355.22,-71.95,-71.95
355.96,-72.77,-72.77
356.69,-73.85,-73.85
357.42,-75.24,-75.24
358.15,-77.02,-77.02
358.89,-79.22,-79.22
